timestep,source,target,unit,IsTruck
0,-38,208,1,0
1,290,18,1,1
1,-71,196,1,0
2,-162,259,1,0
2,-85,246,1,0
3,-256,273,1,0
3,-38,167,1,0
4,-71,196,1,0
5,-86,156,1,0
7,-95,157,1,0
7,-85,196,1,0
7,-38,167,1,0
9,-85,240,1,0
9,-95,259,1,0
12,-38,206,1,0
12,-211,18,1,0
12,71,214,1,1
12,162,240,1,1
13,-316,79,1,0
13,71,273,1,1
14,-71,196,1,0
15,-38,366,1,0
16,-283,221,1,0
16,-162,366,1,0
17,-71,313,1,0
17,-162,259,1,0
18,-38,167,1,0
22,-85,74,1,0
23,-204,208,1,0
23,-86,273,1,0
24,-223,270,1,0
24,-225,221,1,0
24,316,79,1,1
27,-85,74,1,0
27,-71,110,1,0
29,-95,366,1,0
30,71,196,1,1
30,-162,221,1,0
31,-71,313,1,0
32,71,214,1,1
32,-71,313,1,0
33,-38,167,1,0
34,-71,58,1,0
34,-86,18,1,0
34,225,221,1,1
35,-38,167,1,0
35,-95,157,1,0
36,-225,157,1,0
37,-38,366,1,0
37,-95,366,1,0
38,-283,110,1,0
38,-38,206,1,0
39,-15,45,1,0
39,-71,313,1,0
39,-301,313,1,0
39,-71,18,1,0
41,-204,366,1,0
43,-162,221,1,0
44,-271,74,1,0
47,-225,259,1,0
47,-38,366,1,0
47,-71,313,1,0
47,-225,259,1,0
50,-85,246,1,0
50,-85,246,1,0
51,-225,156,1,0
51,38,208,1,1
51,-38,157,1,0
52,-71,196,1,0
53,-316,45,1,0
53,-276,366,1,0
53,-85,246,1,0
53,-225,366,1,0
54,-71,79,1,0
54,-276,366,1,0
54,-71,240,1,0
55,-38,167,1,0
56,-225,221,1,0
57,-38,208,1,0
58,316,18,1,1
59,-71,196,1,0
60,-71,58,1,0
61,-95,74,1,0
62,204,208,1,1
62,241,58,1,1
63,-204,156,1,0
64,-225,203,1,0
65,-85,58,1,0
66,-225,221,1,0
67,-162,270,1,0
67,-71,18,1,0
68,-95,214,1,0
70,-85,246,1,0
71,-316,196,1,0
72,-38,270,1,0
73,-225,259,1,0
74,71,18,1,1
75,-276,156,1,0
75,-162,366,1,0
78,-86,273,1,0
79,-95,156,1,0
79,-71,313,1,0
81,-290,167,1,0
82,-256,79,1,0
82,-225,74,1,0
82,-204,208,1,0
83,-85,246,1,0
83,-290,45,1,0
84,-85,58,1,0
85,-125,45,1,0
86,-85,74,1,0
86,-71,58,1,0
88,-316,79,1,0
88,-241,313,1,0
89,-85,246,1,0
90,-95,208,1,0
90,-71,313,1,0
91,-38,167,1,0
91,-71,110,1,0
91,-71,240,1,0
91,-204,167,1,0
92,-71,79,1,0
92,-71,110,1,0
92,-85,74,1,0
93,-225,221,1,0
93,-85,58,1,0
94,-162,366,1,0
95,241,79,1,1
95,204,208,1,1
95,-283,58,1,0
96,-71,240,1,0
96,-71,18,1,0
97,-225,157,1,0
97,-211,366,1,0
98,-85,74,1,0
98,-316,196,1,0
99,-71,45,1,0
100,-271,74,1,0
100,-71,313,1,0
101,-162,259,1,0
102,-241,313,1,0
102,-71,313,1,0
103,-316,79,1,0
103,-85,313,1,0
104,-71,240,1,0
104,-283,270,1,0
105,-38,167,1,0
105,-204,208,1,0
106,-95,156,1,0
106,-85,58,1,0
106,-71,313,1,0
107,-283,58,1,0
109,-283,221,1,0
110,-85,240,1,0
110,-162,259,1,0
110,-225,203,1,0
110,-95,366,1,0
110,-162,221,1,0
111,-38,157,1,0
113,-316,273,1,0
113,-316,18,1,0
113,-71,18,1,0
114,-225,74,1,0
116,-290,167,1,0
116,-38,366,1,0
117,-290,167,1,0
118,-71,313,1,0
119,-38,156,1,0
119,-71,273,1,0
120,-225,366,1,0
121,-38,167,1,0
121,-71,240,1,0
121,-38,167,1,0
122,-283,74,1,0
122,-204,259,1,0
124,-225,259,1,0
124,-316,196,1,0
124,-225,259,1,0
124,-38,167,1,0
125,-95,156,1,0
126,-85,246,1,0
127,-162,221,1,0
127,204,246,1,1
128,-71,313,1,0
128,71,313,1,1
129,-283,58,1,0
130,-71,196,1,0
131,-225,259,1,0
131,-85,246,1,0
131,-86,208,1,0
131,-283,246,1,0
132,-71,45,1,0
133,-85,246,1,0
133,-85,58,1,0
134,301,313,1,1
135,204,221,1,1
135,-38,208,1,0
137,71,240,1,1
137,-283,221,1,0
137,-38,167,1,0
138,-71,240,1,0
138,-15,156,1,0
139,301,240,1,1
140,-283,221,1,0
141,-85,240,1,0
141,-71,214,1,0
142,-71,240,1,0
142,-38,167,1,0
142,-38,156,1,0
143,-211,18,1,0
143,-283,221,1,0
143,71,313,1,1
144,283,270,1,1
144,-225,74,1,0
144,-95,221,1,0
145,-290,18,1,0
145,-85,74,1,0
146,-211,18,1,0
146,-38,167,1,0
147,-71,214,1,0
150,-71,313,1,0
150,211,259,1,1
150,-162,221,1,0
152,-38,167,1,0
155,71,313,1,1
156,-71,240,1,0
156,-85,79,1,0
157,-71,110,1,0
157,86,273,1,1
157,-204,208,1,0
158,-204,366,1,0
158,-86,196,1,0
159,-204,167,1,0
160,-225,259,1,0
161,-85,214,1,0
162,-301,240,1,0
162,-256,167,1,0
163,-71,273,1,0
163,-71,18,1,0
163,316,79,1,1
163,-15,45,1,0
164,-71,240,1,0
164,-283,74,1,0
164,-211,18,1,0
164,-162,221,1,0
164,-71,240,1,0
166,-125,273,1,0
167,-283,221,1,0
167,-95,366,1,0
168,-71,240,1,0
169,-38,156,1,0
170,86,208,1,1
170,204,157,1,1
170,-223,74,1,0
172,-204,208,1,0
172,-85,74,1,0
173,-71,214,1,0
176,-290,18,1,0
177,-85,246,1,0
177,-225,259,1,0
178,-162,270,1,0
179,-85,110,1,0
179,-316,79,1,0
180,-71,240,1,0
180,-301,74,1,0
182,-71,45,1,0
182,-71,214,1,0
184,-95,259,1,0
185,-162,221,1,0
186,-71,58,1,0
186,-225,259,1,0
188,283,203,1,1
188,-85,313,1,0
189,71,240,1,1
190,290,208,1,1
190,-276,157,1,0
190,-223,246,1,0
192,-316,79,1,0
193,-71,196,1,0
194,-38,259,1,0
194,204,246,1,1
196,-225,366,1,0
196,283,221,1,1
197,290,156,1,1
197,-85,246,1,0
198,-71,79,1,0
198,-85,313,1,0
200,-71,313,1,0
201,-95,74,1,0
201,-225,156,1,0
201,71,79,1,1
202,-95,246,1,0
203,-85,246,1,0
203,-38,156,1,0
203,-38,221,1,0
204,211,366,1,1
206,-290,206,1,0
207,-241,110,1,0
210,-316,196,1,0
210,-71,313,1,0
211,-225,74,1,0
213,125,273,1,1
214,-85,246,1,0
214,-95,366,1,0
215,-85,246,1,0
216,-71,214,1,0
221,-38,206,1,0
223,71,196,1,1
223,-316,18,1,0
223,71,196,1,1
224,85,18,1,1
225,-162,366,1,0
226,-204,221,1,0
226,-85,74,1,0
228,-225,156,1,0
229,-204,167,1,0
229,-162,246,1,0
229,-211,45,1,0
230,-95,208,1,0
232,-71,18,1,0
232,-162,203,1,0
233,71,240,1,1
234,-85,273,1,0
234,-71,240,1,0
234,-225,58,1,0
236,-316,18,1,0
239,-283,221,1,0
241,204,157,1,1
243,71,214,1,1
244,-15,167,1,0
244,225,246,1,1
245,225,156,1,1
245,-211,45,1,0
245,-85,313,1,0
246,-71,240,1,0
246,-316,79,1,0
246,260,208,1,1
247,-162,74,1,0
247,-71,58,1,0
247,-71,45,1,0
248,-290,167,1,0
249,-162,246,1,0
249,38,208,1,1
250,-225,156,1,0
251,260,156,1,1
253,-85,246,1,0
255,-86,273,1,0
257,-283,270,1,0
257,-95,156,1,0
258,-225,259,1,0
258,-290,206,1,0
258,-71,313,1,0
259,-95,156,1,0
259,-211,45,1,0
259,283,240,1,1
260,-38,167,1,0
261,-71,240,1,0
262,-85,74,1,0
262,-283,221,1,0
263,-85,74,1,0
263,-283,221,1,0
264,-71,58,1,0
264,-225,98,1,0
265,-283,203,1,0
265,85,58,1,1
268,-241,18,1,0
269,-204,366,1,0
269,-71,214,1,0
270,290,18,1,1
272,-290,45,1,0
274,-204,167,1,0
275,283,74,1,1
276,-162,74,1,0
276,-271,240,1,0
276,-225,259,1,0
276,-38,203,1,0
279,-125,214,1,0
279,-85,74,1,0
279,316,208,1,1
280,-204,270,1,0
281,-95,156,1,0
282,-85,246,1,0
283,-225,74,1,0
284,-204,366,1,0
285,-225,157,1,0
285,241,214,1,1
286,-316,273,1,0
287,-86,18,1,0
287,-71,18,1,0
287,-85,240,1,0
288,-95,221,1,0
289,-38,366,1,0
289,241,18,1,1
290,-225,246,1,0
291,-71,313,1,0
294,-86,196,1,0
296,-71,240,1,0
297,-256,196,1,0
299,-301,74,1,0
299,-290,18,1,0
299,-211,366,1,0
300,-71,110,1,0
301,-38,208,1,0
302,-260,273,1,0
303,-225,259,1,0
303,-85,74,1,0
303,-276,366,1,0
304,-162,366,1,0
305,71,273,1,1
305,85,246,1,1
306,-85,74,1,0
306,-283,203,1,0
307,-38,157,1,0
310,-204,221,1,0
311,-71,58,1,0
311,-162,366,1,0
312,-225,74,1,0
312,-86,206,1,0
312,-260,18,1,0
312,-211,18,1,0
314,-290,45,1,0
315,-71,240,1,0
315,-225,157,1,0
315,-283,221,1,0
316,-71,240,1,0
316,-71,58,1,0
316,-162,259,1,0
317,-71,45,1,0
318,-38,206,1,0
318,-85,240,1,0
318,-283,74,1,0
318,71,240,1,1
321,71,110,1,1
322,-71,313,1,0
322,-225,221,1,0
322,-85,240,1,0
323,71,196,1,1
325,71,18,1,1
326,-225,156,1,0
327,-316,196,1,0
328,-38,206,1,0
328,86,221,1,1
329,-85,110,1,0
329,-204,156,1,0
330,-38,167,1,0
330,-225,221,1,0
331,-241,45,1,0
332,-290,45,1,0
333,-283,240,1,0
334,-225,157,1,0
335,71,18,1,1
335,-95,208,1,0
336,-38,167,1,0
337,-211,206,1,0
338,71,313,1,1
339,71,18,1,1
339,-162,203,1,0
339,-38,167,1,0
340,85,240,1,1
341,-38,208,1,0
342,-260,206,1,0
344,-85,58,1,0
344,71,79,1,1
345,-204,167,1,0
347,-38,156,1,0
347,-71,45,1,0
349,225,74,1,1
349,-85,246,1,0
350,-85,240,1,0
351,-85,246,1,0
351,-85,313,1,0
352,-71,313,1,0
353,-204,208,1,0
353,-38,167,1,0
355,-283,246,1,0
355,-38,366,1,0
355,-290,45,1,0
356,241,58,1,1
356,-71,313,1,0
358,-204,167,1,0
358,-71,313,1,0
359,-71,273,1,0
360,-85,58,1,0
362,-85,79,1,0
362,-38,157,1,0
362,-316,45,1,0
362,-38,167,1,0
364,-316,79,1,0
365,-71,240,1,0
368,-225,156,1,0
369,-204,270,1,0
369,-71,313,1,0
369,-95,208,1,0
370,-38,167,1,0
371,-71,196,1,0
373,71,79,1,1
374,-223,270,1,0
375,-225,259,1,0
375,-95,366,1,0
375,-225,366,1,0
376,271,246,1,1
376,-225,259,1,0
376,-225,259,1,0
378,-71,196,1,0
378,-162,74,1,0
379,-283,270,1,0
380,-316,79,1,0
381,-38,206,1,0
382,-38,167,1,0
383,71,313,1,1
386,-38,208,1,0
389,-71,79,1,0
391,-15,206,1,0
391,-241,206,1,0
392,-162,259,1,0
392,211,208,1,1
392,-71,240,1,0
394,-38,366,1,0
395,71,58,1,1
395,-95,259,1,0
396,-95,259,1,0
396,-85,240,1,0
397,-38,167,1,0
398,-225,270,1,0
400,-316,167,1,0
400,71,273,1,1
400,-162,203,1,0
401,-95,156,1,0
401,-85,240,1,0
402,-290,208,1,0
402,-71,240,1,0
403,-85,58,1,0
403,-71,240,1,0
403,-38,366,1,0
404,-38,157,1,0
406,-15,167,1,0
406,-241,196,1,0
407,71,18,1,1
407,-71,110,1,0
407,-38,167,1,0
407,-162,270,1,0
408,-225,156,1,0
408,-283,270,1,0
409,71,79,1,1
410,-95,246,1,0
410,86,206,1,1
410,-38,208,1,0
412,-71,196,1,0
413,-204,157,1,0
413,-71,196,1,0
413,-38,167,1,0
415,-316,45,1,0
415,-85,74,1,0
416,-71,240,1,0
417,-38,167,1,0
421,-38,167,1,0
422,-38,208,1,0
423,-86,45,1,0
423,71,58,1,1
424,-316,18,1,0
425,-85,79,1,0
429,-211,167,1,0
431,-290,18,1,0
433,276,167,1,1
433,-71,58,1,0
434,-38,208,1,0
436,86,18,1,1
438,-71,110,1,0
439,-225,156,1,0
440,-86,18,1,0
442,-71,196,1,0
443,-204,221,1,0
445,-86,196,1,0
448,-211,18,1,0
448,-125,45,1,0
448,-204,167,1,0
449,-204,156,1,0
450,-162,259,1,0
451,-71,313,1,0
451,-85,246,1,0
452,-85,240,1,0
453,-283,270,1,0
456,-85,74,1,0
457,-71,18,1,0
457,-316,79,1,0
458,-225,259,1,0
459,71,214,1,1
460,-95,156,1,0
460,-86,18,1,0
461,-125,313,1,0
461,-71,79,1,0
461,-38,167,1,0
463,-71,313,1,0
464,-85,246,1,0
464,-38,157,1,0
464,38,156,1,1
465,-85,196,1,0
465,-86,156,1,0
466,-71,313,1,0
466,-95,208,1,0
466,225,156,1,1
467,211,156,1,1
468,-71,240,1,0
468,-211,45,1,0
469,71,240,1,1
470,-86,208,1,0
472,-71,313,1,0
472,-225,246,1,0
473,-85,74,1,0
474,-95,156,1,0
474,-38,167,1,0
474,-225,270,1,0
475,-38,167,1,0
475,-85,74,1,0
478,-38,156,1,0
480,86,273,1,1
480,-225,259,1,0
481,-283,203,1,0
482,-38,206,1,0
483,-71,58,1,0
483,-71,240,1,0
484,-85,196,1,0
485,-204,270,1,0
487,-241,18,1,0
488,-85,246,1,0
489,-316,206,1,0
490,-162,259,1,0
491,283,221,1,1
491,-225,259,1,0
491,71,214,1,1
491,-71,273,1,0
492,-85,240,1,0
492,71,196,1,1
492,-204,208,1,0
493,-71,240,1,0
493,283,58,1,1
494,256,167,1,1
495,225,246,1,1
497,-85,313,1,0
498,-71,58,1,0
499,-71,240,1,0
500,71,313,1,1
500,-225,259,1,0
501,-95,156,1,0
501,-71,18,1,0
503,-283,221,1,0
505,-162,74,1,0
506,-71,45,1,0
507,-71,313,1,0
508,-71,240,1,0
508,-225,259,1,0
509,-71,18,1,0
510,-38,259,1,0
510,-316,208,1,0
511,316,196,1,1
511,-225,366,1,0
511,-162,259,1,0
512,71,196,1,1
513,-38,167,1,0
514,-283,246,1,0
514,-301,18,1,0
515,125,18,1,1
516,-290,18,1,0
517,-15,45,1,0
517,-162,366,1,0
519,-38,167,1,0
521,-290,208,1,0
521,-290,167,1,0
521,-86,196,1,0
522,-38,206,1,0
524,-71,79,1,0
526,-225,259,1,0
526,-301,58,1,0
527,-86,273,1,0
527,-225,246,1,0
528,-85,58,1,0
529,-71,110,1,0
530,-316,273,1,0
530,38,366,1,1
530,-85,246,1,0
531,-204,366,1,0
532,-256,196,1,0
533,-71,313,1,0
534,-225,259,1,0
535,-283,221,1,0
536,-71,79,1,0
538,-316,167,1,0
538,-204,157,1,0
540,-38,167,1,0
541,-204,156,1,0
541,-125,313,1,0
541,-290,157,1,0
542,-225,246,1,0
543,-85,246,1,0
545,-162,246,1,0
545,-86,196,1,0
549,-211,208,1,0
550,-211,18,1,0
550,-225,74,1,0
550,-225,156,1,0
551,-225,259,1,0
553,-256,206,1,0
554,-38,167,1,0
555,-95,156,1,0
555,276,157,1,1
555,-71,214,1,0
556,-38,167,1,0
556,-38,259,1,0
558,-86,196,1,0
559,316,196,1,1
559,-71,18,1,0
561,276,366,1,1
561,-316,196,1,0
562,-86,196,1,0
562,-71,240,1,0
