osmid,origin,destination,oneway,lanes,name,highway,maxspeed,length,road_class,capacity,wkt
408,0,1,True,3,highway,motorway,20.3,489.57,14,2100,"LINESTRING (422187.5350136757 3402405.682175875, 422220.128050891 3402370.878254309, 422308.99359711 3402274.6597669143, 422478.2012801839 3402095.187978203, 422521.5786311241 3402047.5289145783)"
409,1,2,True,4,highway,motorway,20.3,35.61,14,2100,"LINESTRING (422525.83783480513 3402041.6365576354, 422550.53021175484 3402015.9562855284)"
410,2,3,True,4,highway,motorway,20.3,109.59,14,2100,"LINESTRING (422556.04991963925 3402010.216489609, 422632.0503197985 3401931.194880967)"
411,3,4,True,3,highway,motorway,20.3,6503.52,14,2100,"LINESTRING (422637.59503768594 3401925.430075045, 422643.38735461235 3401919.407666081, 422665.9963982309 3401895.888258319, 422672.01880719454 3401889.635757318, 422815.8063222008 3401737.264808942, 422911.59463752725 3401624.1095468397, 422991.9467783839 3401509.023512427, 423054.82192844455 3401391.9967017057, 423101.28051187744 3401279.1915796595, 423129.41176437936 3401190.015909394, 423167.1568624189 3401006.7025840664, 423211.4945975136 3400596.3384384178, 423274.299719563 3400036.514508857, 423343.65746265923 3399386.604544882, 423407.2829128393 3398796.0383184054, 423474.9299716639 3398192.1067457884, 423537.67506970407 3397618.857446079, 423590.26610611856 3397105.962288027, 423611.9947975946 3396725.069931092, 423616.17647026514 3396479.611747823, 423615.2360941137 3396419.837838259, 423612.71508571133 3396026.5905393492, 423617.3869544579 3395815.826233632, 423628.17126818415 3395607.773012345)"
412,4,5,True,3,highway,motorway,20.3,799.16,14,2100,"LINESTRING (423629.3717483765 3395589.7858174685, 423634.2236891515 3395490.9062656513, 423659.10364113294 3395236.62455297, 423669.4677867909 3395132.052724242, 423699.2096835499 3394885.2440007566, 423713.40536182164 3394796.298422526, 423713.4753898323 3394795.0679303296)"
413,6,7,True,1,highway,motorway_link,16.67,598.46,9,4000,"LINESTRING (408725.250099655 3383768.737398343, 408715.9163661616 3383773.109147043, 408511.98479353206 3383848.579335115, 408504.8019203825 3383851.7105876175, 408487.1848735648 3383862.755005384, 408465.4661860883 3383881.3824563636, 408453.2913161401 3383901.580535595, 408438.5354137796 3383937.374853322, 408435.4141652804 3383944.397662444, 408430.8323325467 3383951.820631633, 408424.9299716028 3383959.5337168663, 408420.3381348679 3383964.9858977385, 408414.80592198286 3383970.568130633, 408409.4037611184 3383974.0495231887, 408403.3313321461 3383977.5209117443, 408394.87795079366 3383981.3024243503, 408380.0820324266 3383987.4949013386, 408308.6534609983 3384010.6641690475, 408300.6002397098 3384015.0859377524, 408294.9479788045 3384019.757806501, 408290.33613406675 3384024.0095071807, 408286.9347735229 3384029.4516840526, 408284.58383314597 3384034.7538049007, 408282.9131648796 3384040.045921746, 408282.3029207811 3384045.858246678, 408282.77310885704 3384054.701784091, 408289.85594198987 3384095.3080265876)"
414,8,9,True,3,highway,motorway,20.3,13.51,14,2100,"LINESTRING (407134.90396119276 3384292.526914139, 407122.06882713904 3384296.778614818)"
415,10,11,True,1,highway,motorway_link,16.67,362.05,9,2500,"LINESTRING (420668.55742263136 3403993.6473619174, 420687.81512571196 3403974.3996628392, 420802.07082799403 3403859.5037044566, 420868.69747865567 3403789.875853319, 420903.53141222807 3403753.1111474377, 420923.7394954616 3403736.894660842)"
416,12,10,True,2,highway,motorway_link,16.67,91.76,9,2500,"LINESTRING (420592.23689441953 3404057.8880581968, 420609.32372915297 3404045.518110216, 420643.3073225907 3404016.6365575953, 420661.76470554445 3403998.1791746444)"
417,13,14,True,4,highway,motorway,20.3,127.7,14,2100,"LINESTRING (420974.1546615281 3403689.8158293115, 421062.8201277151 3403597.8390385965)"
418,14,0,True,3,highway,motorway,20.3,1577.36,14,2100,"LINESTRING (421068.37735060434 3403592.0767336744, 421170.3581429211 3403486.2644087486, 421188.5054018253 3403466.9566856567, 421557.5330128719 3403074.5297148777, 421926.64065593074 3402684.3636484593, 422151.32052787975 3402444.357646062)"
419,15,16,True,2,highway,motorway_link,16.67,96.8,9,2500,"LINESTRING (423308.4633850298 3388955.9923001966, 423349.61984761583 3388947.799022885, 423403.52641024056 3388937.5649292488)"
420,17,18,True,2,highway,motorway_link,16.67,96.46,9,4000,"LINESTRING (423278.0812321705 3388998.9644890716, 423184.1936771468 3389021.2584066377)"
421,19,20,True,1,highway,motorway_link,16.67,208.6,9,2500,"LINESTRING (423089.9759900697 3395205.5021039913, 423146.25850307615 3395198.7193909083, 423218.51740663697 3395195.308026361, 423298.03921536135 3395190.7462016298)"
422,20,21,True,2,highway,motorway_link,16.67,92.2,9,2500,"LINESTRING (423305.9323726246 3395188.6853773007, 423398.0192073578 3395183.393260456)"
423,22,23,True,3,highway,motorway,20.3,479.62,14,2100,"LINESTRING (397491.8367342582 3397459.4136685776, 397490.94637811586 3397625.3400391233, 397499.49979948474 3397824.009506905, 397504.721888319 3397938.915469286)"
424,23,24,True,4,highway,motorway,20.3,0.2,14,2100,"LINESTRING (397504.9119643498 3397945.0404192684, 397504.91196435055 3397945.2404993)"
425,24,25,True,4,highway,motorway,20.3,370.41,14,2100,"LINESTRING (397505.0620243738 3397959.548722588, 397505.19207639515 3397973.479294818, 397510.52420924784 3398048.959486891, 397522.6590631897 3398136.674572925, 397547.0038010844 3398327.5434204605)"
426,26,27,True,4,highway,motorway,20.3,46.14,14,2100,"LINESTRING (397814.24069584324 3401335.2890186384, 397819.0851336188 3401381.184876981)"
427,27,28,True,4,highway,motorway,20.3,190.05,14,2100,"LINESTRING (397819.91546575126 3401389.030515237, 397824.7899155306 3401435.143960614, 397831.4025605896 3401477.600943406, 397848.3943573076 3401576.950683302)"
428,28,29,True,3,highway,motorway,20.3,2187.08,14,2100,"LINESTRING (397849.73989552277 3401584.8338365615, 397917.61704638496 3401981.702584054, 397931.5826326182 3402059.9038645625, 397965.7763100902 3402247.298822543, 398015.84633810096 3402525.029914974, 398046.60864302434 3402692.6669697915, 398078.32132809726 3402863.1451610653, 398113.9255697937 3403039.155565223, 398127.38095194666 3403104.4916996756, 398174.64985951013 3403267.086737688, 398215.26610600925 3403389.6257532914, 398239.4957978847 3403449.8698509284, 398281.1924765575 3403546.9486824614, 398286.6246494256 3403558.673372335, 398292.0368142914 3403570.348042205, 398360.954381319 3403701.6205512034)"
429,30,31,True,3,highway,motorway,20.3,247.0,14,2100,"LINESTRING (397762.5950375799 3400638.1451611104, 397765.01600596757 3400738.115149103, 397773.22929128155 3400884.9738925993)"
430,31,26,True,3,highway,motorway,20.3,385.14,14,2100,"LINESTRING (397777.01080388634 3400938.6753731887, 397780.8023204931 3400996.9886985184, 397784.26370504696 3401048.499302759, 397791.86674626416 3401139.2355972747, 397800.64025566657 3401218.1271538967, 397802.48099196167 3401234.7638085578, 397812.44497755624 3401322.2588065537)"
431,32,33,True,4,highway,motorway,20.3,65.83,14,2100,"LINESTRING (416861.4045614704 3406521.5985423406, 416920.2706078884 3406492.0792346173)"
432,33,34,True,4,highway,motorway,20.3,102.74,14,2100,"LINESTRING (416927.40096002934 3406488.505305046, 417019.27270872897 3406442.416869672)"
433,34,35,True,3,highway,motorway,20.3,2809.91,14,2100,"LINESTRING (417026.4305718753 3406438.8354371004, 417030.2821124906 3406436.9046647917, 417354.32172834035 3406270.6381581924, 417460.6342533496 3406213.8354371046, 417626.06042381807 3406131.022311855, 417885.6042413477 3405999.359646793, 418304.4017603564 3405781.132355882, 418645.66826696007 3405605.3820557646, 418691.94677836425 3405580.6521638087, 418789.2757099395 3405528.651363488, 419169.93797484576 3405332.3128280784, 419354.3617443549 3405223.3392386436, 419482.683072886 3405140.796221439, 419508.6434570409 3405122.2187904674)"
